ID,都道府県,市区町村,市区町村名,種別,人口,議員定数,定数条例等の適用年月,議員実数,議長報酬月額,副議長報酬月額,議員報酬月額,期末手当支給率3月,期末手当支給率6月,期末手当支給率12月,期末手当支給率合計,期末手当加算率,備考,議員報酬年額試算,定数分報酬月額,定数分報酬年額試算,人口あたり報酬月額,人口あたり定数分報酬月額,人口あたり定数分報酬年額,市区町村2016,種別2016,人口2016,議員定数2016,定数条例等の適用年月2016,議員実数2016,議長報酬月額2016,副議長報酬月額2016,議員報酬月額2016,期末手当支給率3月2016,期末手当支給率6月2016,期末手当支給率12月2016,期末手当支給率合計2016,期末手当加算率2016,備考2016,議員報酬年額試算2016,定数分報酬月額2016,定数分報酬年額試算2016,人口あたり報酬月額2016,人口あたり定数分報酬月額2016
143,北海道,むかわ町,北海道むかわ町,町村,"8,317",13,?,13,"283,000","224,000","190,000",?,?,?,?,?,,#VALUE!," 2,597,000 ",#VALUE!,22.8,312.3,#VALUE!,むかわ町,町村,"8,682",14,?,14,"265,000","210,000","177,000",?,?,?,?,?,,#VALUE!," 2,599,000 ",#VALUE!,20.4,299.4
144,北海道,日高町,北海道日高町,町村,"12,227",15,?,15,"252,000","207,000","189,000",?,?,?,?,?,,#VALUE!," 2,916,000 ",#VALUE!,15.5,238.5,#VALUE!,日高町,町村,"12,631",15,?,14,"252,000","207,000","189,000",?,?,?,?,?,,#VALUE!," 2,916,000 ",#VALUE!,15.0,230.9
145,北海道,平取町,北海道平取町,町村,"5,133",12,?,12,"255,000","215,000","192,000",?,?,?,?,?,,#VALUE!," 2,390,000 ",#VALUE!,37.4,465.6,#VALUE!,平取町,町村,"5,337",12,?,12,"255,000","215,000","192,000",?,?,?,?,?,,#VALUE!," 2,390,000 ",#VALUE!,36.0,447.8
146,北海道,新冠町,北海道新冠町,町村,"5,592",12,?,12,"280,000","230,000","205,000",?,?,?,?,?,,#VALUE!," 2,560,000 ",#VALUE!,36.7,457.8,#VALUE!,新冠町,町村,"5,686",12,?,12,"280,000","230,000","205,000",?,?,?,?,?,,#VALUE!," 2,560,000 ",#VALUE!,36.1,450.2
147,北海道,浦河町,北海道浦河町,町村,"12,482",18,?,18,"255,000","203,000","175,000",?,?,?,?,?,,#VALUE!," 3,258,000 ",#VALUE!,14.0,261.0,#VALUE!,浦河町,町村,"12,820",18,?,18,"255,000","203,000","175,000",?,?,?,?,?,,#VALUE!," 3,258,000 ",#VALUE!,13.7,254.1
148,北海道,様似町,北海道様似町,町村,"4,367",10,?,10,"280,000","220,000","200,000",?,?,?,?,?,,#VALUE!," 2,100,000 ",#VALUE!,45.8,480.9,#VALUE!,様似町,町村,"4,581",10,?,10,"280,000","220,000","200,000",?,?,?,?,?,,#VALUE!," 2,100,000 ",#VALUE!,43.7,458.4
149,北海道,えりも町,北海道えりも町,町村,"4,746",11,?,11,"250,000","200,000","180,000",?,?,?,?,?,,#VALUE!," 2,070,000 ",#VALUE!,37.9,436.2,#VALUE!,えりも町,町村,"4,966",11,?,11,"250,000","200,000","190,000",?,?,?,?,?,,#VALUE!," 2,160,000 ",#VALUE!,38.3,435.0
150,北海道,新ひだか町,北海道新ひだか町,町村,"22,808",16,?,16,"300,000","230,000","200,000",?,?,?,?,?,,#VALUE!," 3,330,000 ",#VALUE!,8.8,146.0,#VALUE!,新ひだか町,町村,"23,562",20,?,20,"300,000","230,000","200,000",?,?,?,?,?,,#VALUE!," 4,130,000 ",#VALUE!,8.5,175.3
151,北海道,音更町,北海道音更町,町村,"44,774",20,?,20,"351,000","275,000","235,000",?,?,?,?,?,,#VALUE!," 4,856,000 ",#VALUE!,5.2,108.5,#VALUE!,音更町,町村,"45,233",20,?,20,"351,000","275,000","235,000",?,?,?,?,?,,#VALUE!," 4,856,000 ",#VALUE!,5.2,107.4
152,北海道,士幌町,北海道士幌町,町村,"6,182",12,?,12,"310,000","245,000","195,000",?,?,?,?,?,,#VALUE!," 2,505,000 ",#VALUE!,31.5,405.2,#VALUE!,士幌町,町村,"6,225",12,?,12,"310,000","245,000","195,000",?,?,?,?,?,,#VALUE!," 2,505,000 ",#VALUE!,31.3,402.4
153,北海道,上士幌町,北海道上士幌町,町村,"4,995",11,?,11,"261,000","210,000","165,000",?,?,?,?,?,,#VALUE!," 1,956,000 ",#VALUE!,33.0,391.6,#VALUE!,上士幌町,町村,"4,918",11,?,11,"261,000","210,000","165,000",?,?,?,?,?,,#VALUE!," 1,956,000 ",#VALUE!,33.6,397.7
